Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Plane Tree Court,11-13 St Lesmo Road,Edgeley,Stockport,Greater Manchester,SK3 0TX,1614806919.0,1-101650186,1-143848202,http://www.swanvale.com,Stockport,North West,2021-02-18T00:00:00Z,http://www.cqc.org.uk/location/1-143848202,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Altruistic Care Limited
Merrymeet Residential Care Home,5 & 7 Tootal Grove,,Salford,Lancashire,M6 8DN,1617375606.0,1-2244305582,1-2466713843,http://www.bradmereandmerrymeetcare.co.uk,Salford,North West,2021-02-16T00:00:00Z,http://www.cqc.org.uk/location/1-2466713843,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Mr BT Rawlinson & Mrs ML Knight
Laburnum House Shaw Limited,Laburnum Avenue,Shaw,Oldham,Greater Manchester,OL2 8RS,1706847846.0,1-101612188,1-119238580,http://www.bloomcare.co.uk/our-homes/laburnum-house,Oldham,North West,2020-12-16T00:00:00Z,http://www.cqc.org.uk/location/1-119238580,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,Laburnum House (Shaw) Limited
Farnworth Care Home,Church Street,Farnworth,Bolton,Lancashire,BL4 8AG,1204578555.0,1-138586658,1-156917287,,Bolton,North West,2020-12-19T00:00:00Z,http://www.cqc.org.uk/location/1-156917287,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Abbey Healthcare (Farnworth) Limited
The Fountains Nursing Home,Victoria Park,"Swinton Hall Road, Swinton",Manchester,Lancashire,M27 4DZ,1617945814.0,1-4287806170,1-4361852481,http://www.thefountains.care,Salford,North West,2020-03-17T00:00:00Z,http://www.cqc.org.uk/location/1-4361852481,,"Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,SPV4 Limited
Parkview Residential Home,54 Chorley New Road,,Bolton,Lancashire,BL1 4AP,1204363105.0,1-101612223,1-120357752,,Bolton,North West,2019-09-26T23:00:00Z,http://www.cqc.org.uk/location/1-120357752,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Jewelglen Limited
Abbeydale Nursing Home,10-12 The Polygon,Wellington Road,Eccles,Greater Manchester,M30 0DS,1617072501.0,1-363691721,1-364877457,,Salford,North West,2020-04-21T23:00:00Z,http://www.cqc.org.uk/location/1-364877457,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Innovation Health Care Ltd
The Elms,230 Walmersley Road,,Bury,Lancashire,BL9 6NH,1617633855.0,1-101697496,1-120442399,http://www.parkviewbury.com,Bury,North West,2021-01-21T00:00:00Z,http://www.cqc.org.uk/location/1-120442399,,Learning disabilities,Residential homes,Miss Dawn Charlesworth and Mrs Cheryl Ince
Rivington View Nursing Home,Rivington View,"Albert Street, Horwich",Bolton,Lancashire,BL6 7AW,1204694325.0,1-101616442,1-117304698,http://www.rivingtonview.com,Bolton,North West,2021-02-25T00:00:00Z,http://www.cqc.org.uk/location/1-117304698,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Rivington View Limited
Hulton Care Centre,Clarkes Brow,Middleton,Manchester,Greater Manchester,M24 6BW,1616546693.0,1-4287806170,1-10040429567,,Rochdale,North West,2020-11-27T00:00:00Z,http://www.cqc.org.uk/location/1-10040429567,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,SPV4 Limited
Mediline Supported Living Swallow,20 Swallow Street,Longsight,Manchester,Lancashire,M12 4GH,1613209060.0,1-101685191,1-191191197,http://www.northwestcommunityservices.co.uk,Manchester,North West,2018-08-03T23:00:00Z,http://www.cqc.org.uk/location/1-191191197,,"Sensory impairments,Learning disabilities,Physical disabilities",Residential homes,Mediline Supported Living Limited
Regency Care Centre,140 Lilly Hill,Whitefield,Bury,Greater Manchester,M45 7SG,1617961811.0,1-101658918,1-10000813008,,Bury,North West,2018-08-16T23:00:00Z,http://www.cqc.org.uk/location/1-10000813008,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Lovett Care Limited
The Hennessy Partnership's Roselands,Perth Street,Royton,Oldham,,OL2 6LY,3333603941.0,1-101616559,1-7641113726,,Oldham,North West,2018-04-03T23:00:00Z,http://www.cqc.org.uk/location/1-7641113726,,"Dementia,Caring for adults over 65 yrs",Residential homes,The Hennessy Partnership Limited
Mediline Supported Living Bradgate,62 Bradgate Close,Northenden,Manchester,Greater Manchester,M22 4LX,1619455810.0,1-101685191,1-191191214,http://www.northwestcommunityservices.co.uk,Manchester,North West,2019-06-25T23:00:00Z,http://www.cqc.org.uk/location/1-191191214,,Learning disabilities,Residential homes,Mediline Supported Living Limited
Mary & Joseph House,217 Palmerston Street,Ancoats,Manchester,Greater Manchester,M12 6PT,1612736881.0,1-101665855,1-123913080,http://www.maryandjosephhouse.co.uk,Manchester,North West,2021-02-24T00:00:00Z,http://www.cqc.org.uk/location/1-123913080,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities","Residential homes,Rehabilitation (illness/injury)",The Joseph Cox Charity
Oakbank Care Home,Oakbank,off Rochdale Road,Manchester,Greater Manchester,M9 5YA,1612058848.0,1-101644158,1-123881207,,Manchester,North West,2021-02-24T00:00:00Z,http://www.cqc.org.uk/location/1-123881207,,Caring for adults over 65 yrs,Nursing homes,Unity Homes Limited
Ashbourne House Care Home,230 Lees New Road,,Oldham,Lancashire,OL4 5PP,1616241013.0,1-101662253,1-139948467,,Oldham,North West,2019-10-04T23:00:00Z,http://www.cqc.org.uk/location/1-139948467,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Werneth Lodge Limited
Bridge House Residential Home,Bridge House Care Home,Topping Fold Road,Bury,,BL9 7NQ,1617641736.0,1-5941175030,1-6275718000,,Bury,North West,2021-02-23T00:00:00Z,http://www.cqc.org.uk/location/1-6275718000,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Lotus Care (Bridge House) Limited
Ashbourne Nursing Home,Ashbourne Street,Norden,Rochdale,Lancashire,OL11 5XF,1706639944.0,1-101650428,1-130924359,,Rochdale,North West,2019-01-05T00:00:00Z,http://www.cqc.org.uk/location/1-130924359,,Caring for adults over 65 yrs,Nursing homes,Bamford Care Limited
Franklin House Limited,Franklin House,Franklin Street,Oldham,,OL1 2DP,1616787870.0,1-4950069705,1-5312102242,http://www.franklincaregroup.co.uk,Oldham,North West,2019-01-18T00:00:00Z,http://www.cqc.org.uk/location/1-5312102242,,"Dementia,Caring for adults over 65 yrs",Residential homes,Franklin Care Group Limited
Royley House Care Home,Lea View,Royton,Oldham,Lancashire,OL2 5ED,1616334848.0,1-101641674,1-118563363,,Oldham,North West,2021-02-20T00:00:00Z,http://www.cqc.org.uk/location/1-118563363,,"Dementia,Caring for adults over 65 yrs",Residential homes,RochCare (UK) Ltd
Brookdale Care Home,5 St Pauls Court,Chesham Crescent,Bury,Lancashire,BL9 6BX,1617977160.0,1-119231243,1-136299428,,Bury,North West,2019-02-20T00:00:00Z,http://www.cqc.org.uk/location/1-136299428,,"Dementia,Caring for adults over 65 yrs",Residential homes,GHS Care Limited
Hilltop Hall Nursing Home,Dodge Hill,Heaton Norris,Stockport,Cheshire,SK4 1RD,1614803634.0,1-470508438,1-483767856,http://www.harbourhealthcare.co.uk,Stockport,North West,2017-12-29T00:00:00Z,http://www.cqc.org.uk/location/1-483767856,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Nursing homes,Harbour Healthcare Ltd
Elizabeth House,35 Queens Road,,Oldham,Greater Manchester,OL8 2AX,1616266435.0,1-101678485,1-117886088,,Oldham,North West,2021-02-19T00:00:00Z,http://www.cqc.org.uk/location/1-117886088,,"Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Elizabeth House (Oldham) Limited
Beechfield Lodge,232 Eccles Old Road,,Salford,Greater Manchester,M6 8AG,1617076747.0,1-102642895,1-126240185,http://www.anchor.org.uk,Salford,North West,2017-10-25T23:00:00Z,http://www.cqc.org.uk/location/1-126240185,,"Dementia,Caring for adults over 65 yrs",Residential homes,Anchor Hanover Group
Ashbrook Neuro Rehabilitation,Kitter Street,,Rochdale,Lancashire,OL12 9SF,1706352159.0,1-4881292027,1-5858779257,http://www.nationalcaregroup.com,Rochdale,North West,2021-02-19T00:00:00Z,http://www.cqc.org.uk/location/1-5858779257,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,National Neurological Services Ltd
Cameron House Care Home,Cameron Street,,Bury,Lancashire,BL8 2QH,,1-8544062580,1-8769737539,,Bury,North West,2021-02-19T00:00:00Z,http://www.cqc.org.uk/location/1-8769737539,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Roseberry Care Centres (England) Ltd
Hamilton Rest Home,211-213 Bury New Road,Whitefield,Manchester,Lancashire,M45 8GW,1617667418.0,1-2076153431,1-2111923552,,Bury,North West,2020-02-12T00:00:00Z,http://www.cqc.org.uk/location/1-2111923552,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Mrs Janet Walters
Thornton Lodge Care Home,67 Broom Lane,,Salford,Greater Manchester,M7 4FF,1617922020.0,1-1242325694,1-1568821546,,Salford,North West,2020-12-11T00:00:00Z,http://www.cqc.org.uk/location/1-1568821546,,"Dementia,Caring for adults over 65 yrs",Residential homes,GGS Care Home Limited
Wentworth House,8 Blantyre Road,Swinton,Manchester,Lancashire,M27 5ER,1617939090.0,1-1947011395,1-1984018620,http://www.wentworthhousecare.co.uk,Salford,North West,2021-02-10T00:00:00Z,http://www.cqc.org.uk/location/1-1984018620,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Wentworth House Care Services Ltd
Broughton House - Veteran Care Village,Park Lane,,Salford,Greater Manchester,M7 4JD,1617402737.0,1-1679708346,1-2255431031,http://www.broughtonhouse.com,Salford,North West,2021-02-09T00:00:00Z,http://www.cqc.org.uk/location/1-2255431031,Broughton House,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Broughton House - Veteran Care Village
Bankfield House Care Home,Bankfield Road,Woodley,Stockport,Cheshire,SK6 1RQ,1614066468.0,1-101678681,1-133281386,http://www.bankfieldcare.co.uk,Stockport,North West,2019-12-05T00:00:00Z,http://www.cqc.org.uk/location/1-133281386,,"Dementia,Caring for adults over 65 yrs",Residential homes,Freshfield Care Limited
FieldHouse Care Home Limited,Spinners Green,Fieldhouse,Rochdale,Lancashire,OL12 6EJ,1706632555.0,1-101615807,1-117617632,,Rochdale,North West,2021-02-10T00:00:00Z,http://www.cqc.org.uk/location/1-117617632,,Caring for adults over 65 yrs,"Residential homes,Rehabilitation (illness/injury)",Fieldhouse Care Home Limited
Ecclesholme,Vicars Street,Eccles,Manchester,Lancashire,M30 0DG,1617889517.0,1-2218523567,1-2506583220,http://www.rmbi.org.uk,Salford,North West,2021-02-18T00:00:00Z,http://www.cqc.org.uk/location/1-2506583220,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,The Royal Masonic Benevolent Institution Care Company
Alderwood Care Home,Simpson Road,"Boothstown, Worsley",Manchester,Greater Manchester,M28 1LT,1617039777.0,1-119232955,1-135650516,http://www.hillcare.net,Salford,North West,2020-12-02T00:00:00Z,http://www.cqc.org.uk/location/1-135650516,,Caring for adults over 65 yrs,Residential homes,Hill Care 1 Limited
Laburnum Court Care Centre,8 Priory Grove,,Salford,,M7 2HT,1617080171.0,1-4287806170,1-10040879614,,Salford,North West,2019-05-14T23:00:00Z,http://www.cqc.org.uk/location/1-10040879614,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,SPV4 Limited
Anbridge Care Home,1 Herbert Street,,Oldham,Lancashire,OL4 2QU,1616652232.0,1-101630228,1-112467585,http://www.anbridgecarehome.co.uk,Oldham,North West,2021-02-17T00:00:00Z,http://www.cqc.org.uk/location/1-112467585,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Mr Charles Jones and Mrs Sally Jones
Heartly Green,Cutnook Lane,Irlam,Salford,Greater Manchester,M44 6JX,1617777000.0,1-102643088,1-1212452971,http://www.c-i-c.co.uk,Salford,North West,2019-05-14T23:00:00Z,http://www.cqc.org.uk/location/1-1212452971,,Caring for adults over 65 yrs,Residential homes,Community Integrated Care
Grange Lea Residential Home Limited,Grange Road,,Bolton,Lancashire,BL3 5QQ,1204665903.0,1-121614856,1-214037831,,Bolton,North West,2021-02-17T00:00:00Z,http://www.cqc.org.uk/location/1-214037831,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Grange Lea Residential Home Limited
Kara House,29 Harboro Road,,Sale,Cheshire,M33 5AN,1619693393.0,1-101727743,1-10122564754,,Trafford,North West,2018-08-24T23:00:00Z,http://www.cqc.org.uk/location/1-10122564754,,"Dementia,Caring for adults over 65 yrs",Residential homes,Making Space
Cherrytrees Care Home,Mandley Park Avenue,,Salford,Greater Manchester,M7 4BZ,1617926883.0,1-101612376,1-119138895,,Salford,North West,2018-12-25T00:00:00Z,http://www.cqc.org.uk/location/1-119138895,,Caring for adults over 65 yrs,Nursing homes,MNS Care Plc
Doves Nest Nursing Home,15-19 Windsor Road,Clayton Bridge,Manchester,Greater Manchester,M40 1QQ,1616817410.0,1-101649105,1-123434989,http://www.dovesnest.co.uk,Manchester,North West,2020-02-25T00:00:00Z,http://www.cqc.org.uk/location/1-123434989,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",Dove's Nest Limited
Moorfields Care Home,388 Tottington Road,,Bury,Lancashire,BL8 1TU,1612047083.0,1-3530752017,1-4159116930,,Bury,North West,2020-12-03T00:00:00Z,http://www.cqc.org.uk/location/1-4159116930,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Residential homes,Churchlake Care Ltd
Holt House,Headlands Drive,Prestwich,Manchester,Greater Manchester,M25 9YF,1617730220.0,1-102643035,1-126102793,http://www.salvationarmy.org.uk,Bury,North West,2021-02-11T00:00:00Z,http://www.cqc.org.uk/location/1-126102793,,"Dementia,Caring for adults over 65 yrs",Residential homes,The Salvation Army Social Work Trust
Newlands Care Home,18 Tetlow Lane,,Manchester,Greater Manchester,M7 4BU,1617920993.0,1-101663595,1-127521513,,Salford,North West,2021-01-21T00:00:00Z,http://www.cqc.org.uk/location/1-127521513,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Nursing homes,Angel Care plc
Treetops Nursing Home,Carthage Street,,Oldham,Greater Manchester,OL8 1LL,1616286811.0,1-4324789558,1-5203053560,http://www.treetopsnursinghome.co.uk,Oldham,North West,2020-12-18T00:00:00Z,http://www.cqc.org.uk/location/1-5203053560,,"Sensory impairments,Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities",Nursing homes,Treetops Nursing Home Limited
Avonleigh Gardens,Clyde Street,,Oldham,Lancashire,OL1 4HT,1616275722.0,1-102642904,1-117977107,http://www.mha.org.uk/care-homes/dementia-care/avonleigh-gardens/,Oldham,North West,2021-02-10T00:00:00Z,http://www.cqc.org.uk/location/1-117977107,,"Dementia,Caring for adults over 65 yrs",Residential homes,Methodist Homes
Glenbank Care Home,803 Chorley Old Road,,Bolton,Lancashire,BL1 5SL,1204841349.0,1-101613995,1-125358445,,Bolton,North West,2021-02-02T00:00:00Z,http://www.cqc.org.uk/location/1-125358445,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Glenbank Care Home Ltd
Millfield,Huddersfield Road,Waterhead,Oldham,Greater Manchester,OL4 3NN,,1-102642895,1-126240944,http://www.anchor.org.uk,Oldham,North West,2021-02-05T00:00:00Z,http://www.cqc.org.uk/location/1-126240944,,"Dementia,Caring for adults over 65 yrs",Residential homes,Anchor Hanover Group
St. Euphrasia's Care Home,116 Chain Road,Blackley,Manchester,Greater Manchester,M9 6GN,1616532010.0,1-2484192822,1-2542394334,,Manchester,North West,2021-01-08T00:00:00Z,http://www.cqc.org.uk/location/1-2542394334,,Caring for adults over 65 yrs,Residential homes,The English Province of The Congregation of Our Lady of Charity of the Good Shepherd CIO
Hartington House,14 Hartington Road,Heaton,Bolton,Lancashire,BL1 4DP,1204493126.0,1-101640893,1-121903934,http://www.perpetualcare.co.uk,Bolton,North West,2020-04-15T23:00:00Z,http://www.cqc.org.uk/location/1-121903934,,"Caring for adults under 65 yrs,Mental health conditions,Caring for people whose rights are restricted under the Mental Health Act",Nursing homes,Perpetual (Bolton) Limited
Oak Lodge Care Home,514 Bury New Road,Prestwich,Manchester,Greater Manchester,M25 3AN,1617980005.0,1-101717309,1-121786980,http://www.oak-lodge.com,Bury,North West,2019-04-11T23:00:00Z,http://www.cqc.org.uk/location/1-121786980,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,S R Latimer and Dr K S Kotegaonkar
Beverley Park Nursing Home,22 Sandy Lane,Stretford,Manchester,Greater Manchester,M32 9DA,1618651883.0,1-101655275,1-122648952,,Trafford,North West,2019-07-18T23:00:00Z,http://www.cqc.org.uk/location/1-122648952,,Caring for adults over 65 yrs,Nursing homes,Beverley Park Nursing Home Limited
The Willow,19 Oakfield Street,,Altrincham,,WA15 8HQ,1616417192.0,1-7464429422,1-8975481765,,Trafford,North West,2021-02-13T00:00:00Z,http://www.cqc.org.uk/location/1-8975481765,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Mental health conditions",Nursing homes,Oakfield Psychological Services Limited
Heathcotes (Middleton),485 Rochdale Road,Middleton,Manchester,Lancashire,M24 2GN,1616540226.0,1-101695924,1-1803064047,http://www.heathcotes.net,Rochdale,North West,2018-06-29T23:00:00Z,http://www.cqc.org.uk/location/1-1803064047,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Residential homes,Heathcotes Care Limited
Highfield House Care Home,Manchester Road,,Heywood,Lancashire,OL10 2AN,1706624120.0,1-5736125217,1-5932629816,,Rochdale,North West,2019-12-04T00:00:00Z,http://www.cqc.org.uk/location/1-5932629816,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Highfield House Care Home (Heywood) Limited
DIL House,16 Bradford Avenue,,Bolton,,BL3 2PF,1204350242.0,1-2447274635,1-7065598603,,Bolton,North West,2020-10-08T23:00:00Z,http://www.cqc.org.uk/location/1-7065598603,,"Caring for adults under 65 yrs,Mental health conditions",Residential homes,Dignity In Life Ltd
Wilfred Geere House,310 Highfield Road,Farnworth,Bolton,Lancashire,BL4 0PG,1204337839.0,1-101656323,1-126778556,http://www.bolton.gov.uk,Bolton,North West,2018-04-26T23:00:00Z,http://www.cqc.org.uk/location/1-126778556,,"Dementia,Caring for adults over 65 yrs",Residential homes,Bolton Council
Strathmore Nursing Home,51 Seymour Road,,Bolton,Lancashire,BL1 8PT,1204309795.0,1-101681100,1-118917251,,Bolton,North West,2020-01-07T00:00:00Z,http://www.cqc.org.uk/location/1-118917251,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",Strathmore Care Home Limited
Woodend Care Home,Bradgate Road,,Altrincham,Cheshire,WA14 4QU,1619295127.0,1-102642676,1-127818978,,Trafford,North West,2020-09-24T23:00:00Z,http://www.cqc.org.uk/location/1-127818978,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,Bupa Care Homes (ANS) Limited
Heywood Court Care Home,Green Lane,,Heywood,,OL10 1NQ,1706361900.0,1-8660727025,1-8809945729,,Rochdale,North West,2019-06-14T23:00:00Z,http://www.cqc.org.uk/location/1-8809945729,,"Dementia,Caring for adults over 65 yrs",Residential homes,Marton Care Homes Ltd
Burrswood Care Home,Newton Street,,Bury,Lancashire,BL9 5HB,1617617526.0,1-4328010968,1-4413340817,,Bury,North West,2021-01-13T00:00:00Z,http://www.cqc.org.uk/location/1-4413340817,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Advinia Care Homes Limited
Agricola House,17 Kirklees Street,Tottington,Bury,Lancashire,BL8 3NE,1204880023.0,1-102643122,1-1440734312,,Bury,North West,2018-06-01T23:00:00Z,http://www.cqc.org.uk/location/1-1440734312,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Physical disabilities","Residential homes,Homecare agencies",Voyage 1 Limited
Four Oaks Care Home,28 Wood Lane,Partington,Manchester,Lancashire,M31 4LX,1613593983.0,1-101678601,1-2650333959,,Trafford,North West,2018-09-19T23:00:00Z,http://www.cqc.org.uk/location/1-2650333959,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Kingsley Care Homes Limited
Highgrove,High Grove,Broad Oak Lane,Bury,,BL9 7NL,3000024040.0,1-9399146740,1-10160947957,http://www.thera.co.uk,Bury,North West,2018-11-30T00:00:00Z,http://www.cqc.org.uk/location/1-10160947957,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Residential homes,Ansar Projects
Limefield Court Retirement Home,15 Limefield Road,,Bury,Lancashire,BL9 5ET,1617615164.0,1-101608796,1-137548844,http://www.lilycare.com,Bury,North West,2019-10-16T23:00:00Z,http://www.cqc.org.uk/location/1-137548844,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Lily Care Ltd
The Ferns,175 Walmersley Road,,Bury,Lancashire,BL9 5DF,1617616694.0,1-101697496,1-120442375,http://www.parkviewbury.com,Bury,North West,2021-01-22T00:00:00Z,http://www.cqc.org.uk/location/1-120442375,,Learning disabilities,Residential homes,Miss Dawn Charlesworth and Mrs Cheryl Ince
Newhey Manor Residential Care Home,64A Huddersfield Road,Newhey,Rochdale,Lancashire,OL16 3RL,1706291860.0,1-101608796,1-137527668,http://www.lilycare.com,Rochdale,North West,2018-07-06T23:00:00Z,http://www.cqc.org.uk/location/1-137527668,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Lily Care Ltd
