,Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
657,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,11.8927528537298,,,,,1792.0,15068.0,,,Not compared,Not compared,20110000,,,2011-01-01
656,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,9.41171637498973,,,,,2291.0,24342.0,,,Not compared,Not compared,20110000,,,2011-01-01
655,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,11.4606598174973,,,,,1796.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
654,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,12.1978959340347,,,,,1716.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
653,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,12.9182665935272,,,,,1884.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
652,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,12.7044025157233,,,,,2929.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
651,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,13.5989638884656,,,,,1785.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
650,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,8.86579352033512,,,,,1672.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
320,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,9.2085921570487,,,,,1942.0,21089.0,,,Not compared,Not compared,20110000,,,2011-01-01
319,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,6.88195110935471,,,,,1219.0,17713.0,,,Not compared,Not compared,20110000,,,2011-01-01
318,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,11.8927528537298,,,,,1792.0,15068.0,,,Not compared,Not compared,20110000,,,2011-01-01
317,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,9.41171637498973,,,,,2291.0,24342.0,,,Not compared,Not compared,20110000,,,2011-01-01
316,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,11.4606598174973,,,,,1796.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
315,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,12.1978959340347,,,,,1716.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
314,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,12.9182665935272,,,,,1884.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
313,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,12.7044025157233,,,,,2929.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
646,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA,Persons,75+ yrs,,,2011,8.86579352033512,,,,,1672.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
312,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,13.5989638884656,,,,,1785.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
311,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,8.86579352033512,,,,,1672.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
313,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA,Persons,75+ yrs,,,2011,13.5989638884656,,,,,1785.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
314,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA,Persons,75+ yrs,,,2011,12.7044025157233,,,,,2929.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
315,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA,Persons,75+ yrs,,,2011,12.9182665935272,,,,,1884.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
316,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA,Persons,75+ yrs,,,2011,12.1978959340347,,,,,1716.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
317,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA,Persons,75+ yrs,,,2011,11.4606598174973,,,,,1796.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
318,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA,Persons,75+ yrs,,,2011,9.41171637498973,,,,,2291.0,24342.0,,,Not compared,Not compared,20110000,,,2011-01-01
319,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA,Persons,75+ yrs,,,2011,11.8927528537298,,,,,1792.0,15068.0,,,Not compared,Not compared,20110000,,,2011-01-01
320,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA,Persons,75+ yrs,,,2011,6.88195110935471,,,,,1219.0,17713.0,,,Not compared,Not compared,20110000,,,2011-01-01
321,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,County & UA,Persons,75+ yrs,,,2011,9.2085921570487,,,,,1942.0,21089.0,,,Not compared,Not compared,20110000,,,2011-01-01
1720,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,District & UA,Persons,75+ yrs,,,2012,12.0193657030592,,,,,1713.0,14252.0,,,Not compared,Not compared,20120000,,,2012-01-01
1727,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,13.9868499701136,,,,,1872.0,13384.0,,,Not compared,Not compared,20120000,,,2012-01-01
1726,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,9.24352114153814,,,,,1762.0,19062.0,,,Not compared,Not compared,20120000,,,2012-01-01
916,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA,Persons,75+ yrs,,,2012,8.26592797783933,,,,,1492.0,18050.0,,,Not compared,Not compared,20120000,,,2012-01-01
915,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA,Persons,75+ yrs,,,2012,12.037461523348,,,,,1838.0,15269.0,,,Not compared,Not compared,20120000,,,2012-01-01
914,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA,Persons,75+ yrs,,,2012,9.59048235674976,,,,,2370.0,24712.0,,,Not compared,Not compared,20120000,,,2012-01-01
910,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA,Persons,75+ yrs,,,2012,13.3782188606654,,,,,3060.0,22873.0,,,Not compared,Not compared,20120000,,,2012-01-01
912,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA,Persons,75+ yrs,,,2012,12.0193657030592,,,,,1713.0,14252.0,,,Not compared,Not compared,20120000,,,2012-01-01
911,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA,Persons,75+ yrs,,,2012,12.8062436375976,,,,,1887.0,14735.0,,,Not compared,Not compared,20120000,,,2012-01-01
1728,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,13.3782188606654,,,,,3060.0,22873.0,,,Not compared,Not compared,20120000,,,2012-01-01
909,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA,Persons,75+ yrs,,,2012,13.9868499701136,,,,,1872.0,13384.0,,,Not compared,Not compared,20120000,,,2012-01-01
908,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA,Persons,75+ yrs,,,2012,9.24352114153814,,,,,1762.0,19062.0,,,Not compared,Not compared,20120000,,,2012-01-01
913,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA,Persons,75+ yrs,,,2012,11.3411914622491,,,,,1780.0,15695.0,,,Not compared,Not compared,20120000,,,2012-01-01
1729,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,12.8062436375976,,,,,1887.0,14735.0,,,Not compared,Not compared,20120000,,,2012-01-01
1734,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,8.26592797783933,,,,,1492.0,18050.0,,,Not compared,Not compared,20120000,,,2012-01-01
1731,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,11.3411914622491,,,,,1780.0,15695.0,,,Not compared,Not compared,20120000,,,2012-01-01
1732,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,9.59048235674976,,,,,2370.0,24712.0,,,Not compared,Not compared,20120000,,,2012-01-01
1733,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,12.037461523348,,,,,1838.0,15269.0,,,Not compared,Not compared,20120000,,,2012-01-01
1735,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,10.1716199246547,,,,,2187.0,21501.0,,,Not compared,Not compared,20120000,,,2012-01-01
917,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,County & UA,Persons,75+ yrs,,,2012,10.1716199246547,,,,,2187.0,21501.0,,,Not compared,Not compared,20120000,,,2012-01-01
1716,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA,Persons,75+ yrs,,,2012,9.24352114153814,,,,,1762.0,19062.0,,,Not compared,Not compared,20120000,,,2012-01-01
1717,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA,Persons,75+ yrs,,,2012,13.9868499701136,,,,,1872.0,13384.0,,,Not compared,Not compared,20120000,,,2012-01-01
1718,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA,Persons,75+ yrs,,,2012,13.3782188606654,,,,,3060.0,22873.0,,,Not compared,Not compared,20120000,,,2012-01-01
1719,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA,Persons,75+ yrs,,,2012,12.8062436375976,,,,,1887.0,14735.0,,,Not compared,Not compared,20120000,,,2012-01-01
1721,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,District & UA,Persons,75+ yrs,,,2012,11.3411914622491,,,,,1780.0,15695.0,,,Not compared,Not compared,20120000,,,2012-01-01
1722,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,District & UA,Persons,75+ yrs,,,2012,9.59048235674976,,,,,2370.0,24712.0,,,Not compared,Not compared,20120000,,,2012-01-01
1723,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,District & UA,Persons,75+ yrs,,,2012,12.037461523348,,,,,1838.0,15269.0,,,Not compared,Not compared,20120000,,,2012-01-01
1730,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,District & UA (4/19-3/20),Persons,75+ yrs,,,2012,12.0193657030592,,,,,1713.0,14252.0,,,Not compared,Not compared,20120000,,,2012-01-01
1724,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,District & UA,Persons,75+ yrs,,,2012,8.26592797783933,,,,,1492.0,18050.0,,,Not compared,Not compared,20120000,,,2012-01-01
1725,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,District & UA,Persons,75+ yrs,,,2012,10.1716199246547,,,,,2187.0,21501.0,,,Not compared,Not compared,20120000,,,2012-01-01
511,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA (pre 4/19),Persons,75+ yrs,,,2012,9.59048235674976,,,,,2370.0,24712.0,,,Not compared,Not compared,20120000,,,2012-01-01
914,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,12.037461523348,,,,,1838.0,15269.0,,,Not compared,Not compared,20120000,,,2012-01-01
915,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,8.26592797783933,,,,,1492.0,18050.0,,,Not compared,Not compared,20120000,,,2012-01-01
916,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,10.1716199246547,,,,,2187.0,21501.0,,,Not compared,Not compared,20120000,,,2012-01-01
514,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,County & UA (pre 4/19),Persons,75+ yrs,,,2012,10.1716199246547,,,,,2187.0,21501.0,,,Not compared,Not compared,20120000,,,2012-01-01
513,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA (pre 4/19),Persons,75+ yrs,,,2012,8.26592797783933,,,,,1492.0,18050.0,,,Not compared,Not compared,20120000,,,2012-01-01
512,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (pre 4/19),Persons,75+ yrs,,,2012,12.037461523348,,,,,1838.0,15269.0,,,Not compared,Not compared,20120000,,,2012-01-01
1009,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,District & UA (pre 4/19),Persons,75+ yrs,,,2012,10.1716199246547,,,,,2187.0,21501.0,,,Not compared,Not compared,20120000,,,2012-01-01
510,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA (pre 4/19),Persons,75+ yrs,,,2012,11.3411914622491,,,,,1780.0,15695.0,,,Not compared,Not compared,20120000,,,2012-01-01
509,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA (pre 4/19),Persons,75+ yrs,,,2012,12.0193657030592,,,,,1713.0,14252.0,,,Not compared,Not compared,20120000,,,2012-01-01
508,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA (pre 4/19),Persons,75+ yrs,,,2012,12.8062436375976,,,,,1887.0,14735.0,,,Not compared,Not compared,20120000,,,2012-01-01
507,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA (pre 4/19),Persons,75+ yrs,,,2012,13.3782188606654,,,,,3060.0,22873.0,,,Not compared,Not compared,20120000,,,2012-01-01
506,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA (pre 4/19),Persons,75+ yrs,,,2012,13.9868499701136,,,,,1872.0,13384.0,,,Not compared,Not compared,20120000,,,2012-01-01
505,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA (pre 4/19),Persons,75+ yrs,,,2012,9.24352114153814,,,,,1762.0,19062.0,,,Not compared,Not compared,20120000,,,2012-01-01
1001,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA (pre 4/19),Persons,75+ yrs,,,2012,13.9868499701136,,,,,1872.0,13384.0,,,Not compared,Not compared,20120000,,,2012-01-01
1000,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA (pre 4/19),Persons,75+ yrs,,,2012,9.24352114153814,,,,,1762.0,19062.0,,,Not compared,Not compared,20120000,,,2012-01-01
1003,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA (pre 4/19),Persons,75+ yrs,,,2012,12.8062436375976,,,,,1887.0,14735.0,,,Not compared,Not compared,20120000,,,2012-01-01
907,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,9.24352114153814,,,,,1762.0,19062.0,,,Not compared,Not compared,20120000,,,2012-01-01
908,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,13.9868499701136,,,,,1872.0,13384.0,,,Not compared,Not compared,20120000,,,2012-01-01
909,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,13.3782188606654,,,,,3060.0,22873.0,,,Not compared,Not compared,20120000,,,2012-01-01
1008,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,District & UA (pre 4/19),Persons,75+ yrs,,,2012,8.26592797783933,,,,,1492.0,18050.0,,,Not compared,Not compared,20120000,,,2012-01-01
1002,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA (pre 4/19),Persons,75+ yrs,,,2012,13.3782188606654,,,,,3060.0,22873.0,,,Not compared,Not compared,20120000,,,2012-01-01
911,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,12.0193657030592,,,,,1713.0,14252.0,,,Not compared,Not compared,20120000,,,2012-01-01
910,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,12.8062436375976,,,,,1887.0,14735.0,,,Not compared,Not compared,20120000,,,2012-01-01
913,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,9.59048235674976,,,,,2370.0,24712.0,,,Not compared,Not compared,20120000,,,2012-01-01
1007,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,District & UA (pre 4/19),Persons,75+ yrs,,,2012,12.037461523348,,,,,1838.0,15269.0,,,Not compared,Not compared,20120000,,,2012-01-01
1006,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,District & UA (pre 4/19),Persons,75+ yrs,,,2012,9.59048235674976,,,,,2370.0,24712.0,,,Not compared,Not compared,20120000,,,2012-01-01
1005,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,District & UA (pre 4/19),Persons,75+ yrs,,,2012,11.3411914622491,,,,,1780.0,15695.0,,,Not compared,Not compared,20120000,,,2012-01-01
1004,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,District & UA (pre 4/19),Persons,75+ yrs,,,2012,12.0193657030592,,,,,1713.0,14252.0,,,Not compared,Not compared,20120000,,,2012-01-01
912,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA (4/19-3/20),Persons,75+ yrs,,,2012,11.3411914622491,,,,,1780.0,15695.0,,,Not compared,Not compared,20120000,,,2012-01-01
2798,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA,Persons,75+ yrs,,,2013,9.03595622720167,,,,,1734.0,19190.0,,,Not compared,Not compared,20130000,,,2013-01-01
2801,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA,Persons,75+ yrs,,,2013,12.5349301397206,,,,,1884.0,15030.0,,,Not compared,Not compared,20130000,,,2013-01-01
2799,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA,Persons,75+ yrs,,,2013,13.5067972518638,,,,,1848.0,13682.0,,,Not compared,Not compared,20130000,,,2013-01-01
2800,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA,Persons,75+ yrs,,,2013,13.1839386144657,,,,,3024.0,22937.0,,,Not compared,Not compared,20130000,,,2013-01-01
2802,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,District & UA,Persons,75+ yrs,,,2013,11.5869715869716,,,,,1672.0,14430.0,,,Not compared,Not compared,20130000,,,2013-01-01
1503,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,9.03595622720167,,,,,1734.0,19190.0,,,Not compared,Not compared,20130000,,,2013-01-01
2804,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,District & UA,Persons,75+ yrs,,,2013,9.13719718365886,,,,,2297.0,25139.0,,,Not compared,Not compared,20130000,,,2013-01-01
2805,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,District & UA,Persons,75+ yrs,,,2013,11.8315465108814,,,,,1843.0,15577.0,,,Not compared,Not compared,20130000,,,2013-01-01
2806,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,District & UA,Persons,75+ yrs,,,2013,8.35830654388928,,,,,1534.0,18353.0,,,Not compared,Not compared,20130000,,,2013-01-01
2807,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,District & UA,Persons,75+ yrs,,,2013,9.91825613079019,,,,,2184.0,22020.0,,,Not compared,Not compared,20130000,,,2013-01-01
1512,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,9.91825613079019,,,,,2184.0,22020.0,,,Not compared,Not compared,20130000,,,2013-01-01
1511,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,8.35830654388928,,,,,1534.0,18353.0,,,Not compared,Not compared,20130000,,,2013-01-01
1510,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,11.8315465108814,,,,,1843.0,15577.0,,,Not compared,Not compared,20130000,,,2013-01-01
1509,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,9.13719718365886,,,,,2297.0,25139.0,,,Not compared,Not compared,20130000,,,2013-01-01
1507,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,11.5869715869716,,,,,1672.0,14430.0,,,Not compared,Not compared,20130000,,,2013-01-01
1506,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,12.5349301397206,,,,,1884.0,15030.0,,,Not compared,Not compared,20130000,,,2013-01-01
1505,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,13.1839386144657,,,,,3024.0,22937.0,,,Not compared,Not compared,20130000,,,2013-01-01
1504,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,13.5067972518638,,,,,1848.0,13682.0,,,Not compared,Not compared,20130000,,,2013-01-01
2803,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,District & UA,Persons,75+ yrs,,,2013,11.2978642739795,,,,,1788.0,15826.0,,,Not compared,Not compared,20130000,,,2013-01-01
1508,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA (4/19-3/20),Persons,75+ yrs,,,2013,11.2978642739795,,,,,1788.0,15826.0,,,Not compared,Not compared,20130000,,,2013-01-01
2817,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA (4/19-3/20),Persons,75+ yrs,,,2013,9.03595622720167,,,,,1734.0,19190.0,,,Not compared,Not compared,20130000,,,2013-01-01
1504,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA,Persons,75+ yrs,,,2013,9.03595622720167,,,,,1734.0,19190.0,,,Not compared,Not compared,20130000,,,2013-01-01
1114,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA (pre 4/19),Persons,75+ yrs,,,2013,8.35830654388928,,,,,1534.0,18353.0,,,Not compared,Not compared,20130000,,,2013-01-01
1113,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (pre 4/19),Persons,75+ yrs,,,2013,11.8315465108814,,,,,1843.0,15577.0,,,Not compared,Not compared,20130000,,,2013-01-01
1112,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA (pre 4/19),Persons,75+ yrs,,,2013,9.13719718365886,,,,,2297.0,25139.0,,,Not compared,Not compared,20130000,,,2013-01-01
