,LatestChangeTimestampOverride,SpecialCases,AlwaysShowSexWithIndicatorName,AlwaysShowAgeWithIndicatorName,Unit,YearType,ValueType,ConfidenceIntervalMethod,IID,Descriptive,Target
90988,,,False,False,"{'Id': 3, 'Value': 100000.0, 'Label': 'per 100,000'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 1, 'Name': 'Directly standardised rate'}","{'Id': 2, 'Name': ""Byar's method"", 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>Byar’s method<sup>1</sup> gives very accurate approximate confidence intervals for counts based on the assumption of a Poisson distribution. It is sufficiently accurate for counts as low as 10 (below 10, an exact method should be used, based on Poisson tables or the Chi-squared distribution). \xa0Byar’s method is the preferred method for calculating confidence intervals for counts, crude rates, indirectly standardised rates and indirectly standardised ratios, but it can also be used for proportions, as long as the proportions are small (much closer to zero than to one) as the Poisson distribution is a very good approximation to the Binomial distribution when the proportion being measured is small. \xa0The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Breslow NE, Day NE. <i>Statistical methods in cancer research, volume II: The design and analysis of cohort studies.</i> Lyon: International Agency for Research on Cancer, World Health Organization; 1987:69.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",90988,"{'Name': 'CHD admissions (all ages)', 'DataSource': 'Calculated by Public Health England from data using data from NHS Digital - Hospital Episode Statistics (HES) and Office for National Statistics (ONS) - Mid Year Population Estimates.'}",
90999,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",90999,"{'Name': 'CHD005: Record that aspirin, APT or ACT is taken (den. incl. PCAs)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91000,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91000,"{'Name': 'CHD007: CHD patients immunised against flu (den.incl.PCAs)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91001,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91001,"{'Name': 'HF002: Diagnosis conf. by ECG/specialist assessm. (denominator includes PCAs)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91005,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91005,"{'Name': 'HF003: Heart failure w LVD: treated with ACE-I or ARB (denominator includes PCAs)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91013,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91013,"{'Name': 'STIA007: Record that an anti-platelet agent or an anti-coagulant is taken (denominator includes PCAs)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91020,,,False,False,"{'Id': 57, 'Value': 1000000.0, 'Label': 'per 1,000,000'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 3, 'Name': 'Crude rate'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91020,"{'Name': 'RRT acceptance rate', 'DataSource': 'UK Renal Registry UKRR'}",
91021,,,False,False,"{'Id': 19, 'Value': 1.0, 'Label': ''}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 7, 'Name': 'Count'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91021,"{'Name': 'Number of people receiving RRT', 'DataSource': 'UK Renal Registry'}",
91022,,,False,False,"{'Id': 19, 'Value': 1.0, 'Label': ''}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 6, 'Name': 'Ratio'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91022,"{'Name': 'Ratio of observed to expected RRT acceptance rate', 'DataSource': 'UK Renal Registry UKRR'}",
91023,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91023,"{'Name': 'Percentage change in number of people receiving RRT', 'DataSource': 'UK Renal Registry UKRR'}",
91025,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91025,"{'Name': 'The proportion of patients receiving home dialysis (Home HD and PD combined)', 'DataSource': 'UK Renal Registry UKRR'}",
91029,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",91029,"{'Name': 'The percentage of all people receiving RRT on the different modality types: Kidney transplant', 'DataSource': 'UK Renal Registry'}",
91030,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 3, 'Name': 'Crude rate'}","{'Id': 2, 'Name': ""Byar's method"", 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>Byar’s method<sup>1</sup> gives very accurate approximate confidence intervals for counts based on the assumption of a Poisson distribution. It is sufficiently accurate for counts as low as 10 (below 10, an exact method should be used, based on Poisson tables or the Chi-squared distribution). \xa0Byar’s method is the preferred method for calculating confidence intervals for counts, crude rates, indirectly standardised rates and indirectly standardised ratios, but it can also be used for proportions, as long as the proportions are small (much closer to zero than to one) as the Poisson distribution is a very good approximation to the Binomial distribution when the proportion being measured is small. \xa0The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Breslow NE, Day NE. <i>Statistical methods in cancer research, volume II: The design and analysis of cohort studies.</i> Lyon: International Agency for Research on Cancer, World Health Organization; 1987:69.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91030,"{'Name': 'Percentage of NHS Health Checks offered which were taken up in the quarter', 'DataSource': '<p>Local authorities collect information on the number of NHS Health Checks offered and the number of NHS Health Checks received each quarter and return this data to Public Health England</p>'}",
91040,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91040,"{'Name': 'Percentage of NHS Health Checks offered to the total eligible population in the quarter', 'DataSource': '<p>Local authorities collect information on the number of NHS Health Checks offered and the number of NHS Health Checks received each quarter and return this data to Public Health England</p>'}",
91041,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91041,"{'Name': 'Percentage of NHS Health Checks received by the total eligible population in the quarter', 'DataSource': '<p>Local authorities collect information on the number of NHS Health Checks offered and the number of NHS Health Checks received each quarter and return this data to Public Health England</p>'}",
91046,,,False,False,"{'Id': 3, 'Value': 100000.0, 'Label': 'per 100,000'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 3, 'Name': 'Crude rate'}","{'Id': 97, 'Name': 'Other method - see below', 'Description': None}",91046,"{'Name': 'Genital herpes diagnosis rate / 100,000', 'DataSource': 'Public Health England'}",
91048,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 97, 'Name': 'Other method - see below', 'Description': None}",91048,"{'Name': 'HIV testing coverage, women (%)', 'DataSource': 'Public Health England'}",
91049,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 97, 'Name': 'Other method - see below', 'Description': None}",91049,"{'Name': 'HIV testing coverage, MSM (%)', 'DataSource': 'Public Health England'}",
91050,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 97, 'Name': 'Other method - see below', 'Description': None}",91050,"{'Name': 'HIV testing coverage, men (%)', 'DataSource': 'Public Health England'}",
91058,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91058,"{'Name': 'Proportion of deaths at home (or usual place of residence) from heart failure', 'DataSource': 'ONS Mortality statistics'}",
91059,,,False,False,"{'Id': 3, 'Value': 100000.0, 'Label': 'per 100,000'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 1, 'Name': 'Directly standardised rate'}","{'Id': 22, 'Name': ""Byar's method (no small number correction)"", 'Description': None}",91059,"{'Name': 'Coronary heart disease mortality rates, under 75 years', 'DataSource': 'ONS Mortality statistics'}",
91061,,,False,False,"{'Id': 3, 'Value': 100000.0, 'Label': 'per 100,000'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 1, 'Name': 'Directly standardised rate'}","{'Id': 4, 'Name': ""Dobson & Byar's methods"", 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. \xa0A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>Dobson & Byar’s method is used for calculating confidence intervals for directly standardised rates. A confidence interval is calculated for the observed total count of events using Byar’s method,<sup>1</sup> which gives very accurate approximate confidence intervals for counts based on the assumption of a Poisson distribution and is sufficiently accurate for counts as low as 10, the minimum count recommended for DSRs. \xa0This interval is then weighted and scaled to give the interval for the standardised rate using the method described by Dobson.<sup>2</sup> \xa0The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>3</sup></p><br><p><sup>1</sup> Breslow NE, Day NE. <i>Statistical methods in cancer research, volume II: The design and analysis of cohort studies.</i> Lyon: International Agency for Research on Cancer, World Health Organization; 1987:69.<br><sup>2</sup> Dobson A et al. <i>Confidence intervals for weighted sums of Poisson parameters.</i> Stat Med 1991;10:457-62.<br><sup>3</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91061,"{'Name': 'Stroke mortality rates, under 75 years (age standardised)', 'DataSource': 'ONS Mortality statistics'}",
91085,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91085,"{'Name': 'CHD002: Last BP reading in last 12mths is <=150/90 (den.incl.exc.) - retired after 2018/19', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91089,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91089,"{'Name': 'HYP006: Blood pressure <= 150/90 mmHg in people with hypertension - retired after 2018/19', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91091,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91091,"{'Name': 'STIA003: Last BP reading is <=150/90 (den. incl. exc.) - retired after 2018/19', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
91096,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 2, 'Name': 'Indirectly standardised ratio'}","{'Id': 97, 'Name': 'Other method - see below', 'Description': None}",91096,"{'Name': 'Excess under 75 mortality rate in adults with serious mental illness', 'DataSource': 'NHS Digital'}",
91099,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91099,"{'Name': 'Cumulative percentage of the eligible population aged 40-74 offered an NHS Health Check', 'DataSource': 'Public Health England'}",
91100,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 3, 'Name': 'Crude rate'}","{'Id': 2, 'Name': ""Byar's method"", 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>Byar’s method<sup>1</sup> gives very accurate approximate confidence intervals for counts based on the assumption of a Poisson distribution. It is sufficiently accurate for counts as low as 10 (below 10, an exact method should be used, based on Poisson tables or the Chi-squared distribution). \xa0Byar’s method is the preferred method for calculating confidence intervals for counts, crude rates, indirectly standardised rates and indirectly standardised ratios, but it can also be used for proportions, as long as the proportions are small (much closer to zero than to one) as the Poisson distribution is a very good approximation to the Binomial distribution when the proportion being measured is small. \xa0The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Breslow NE, Day NE. <i>Statistical methods in cancer research, volume II: The design and analysis of cohort studies.</i> Lyon: International Agency for Research on Cancer, World Health Organization; 1987:69.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",91100,"{'Name': 'Cumulative percentage of the eligible population aged 40-74 offered an NHS Health Check who received an NHS Health Check', 'DataSource': 'Public Health England'}",
