TOTAL_QUANTITY,PRACTICE_NAME,PCO_NAME,CHEMICAL_SUBSTANCE_BNF_DESCR,YEAR_MONTH,BNF_DESCRIPTION
28.0,BEACON MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
252.0,GORTON MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,DR HUSSAIN'S PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 1.5mg capsules
30.0,CORKLAND ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
56.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 6mg capsules
14.0,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,"DR CHIU, KOH AND GAN",CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
168.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 6mg capsules
224.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
30.0,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
42.0,CORNERSTONE FAMILY PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,KINGSWAY MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
84.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
35.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
14.0,NURSING HOME PROJECT TEAM (SOUTH),SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
56.0,PARKSIDE SURGERY,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
35.0,MAULDETH MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,LEVENSHULME MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
56.0,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
392.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
84.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,MP VICTORIA MILL,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
28.0,FALLOWFIELD MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
364.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,SURREY LODGE PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
56.0,NORTHERN MOOR MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
56.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
28.0,NORTHERN MOOR MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
280.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
56.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 12mg tablets
56.0,ST GEORGE'S MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 6mg capsules
800.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg/ml oral solution sugar free
56.0,WHITLEY ROAD MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
30.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
56.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.5mg capsules
28.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.5mg capsules
112.0,PARK VIEW MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
28.0,TREGENNA GROUP PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
196.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
28.0,THE ROBERT DARBISHIRE PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
140.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
70.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
112.0,THE WHITSWOOD PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.5mg capsules
168.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
60.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
28.0,"DR CHIU, KOH AND GAN",CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,GORTON MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
56.0,WEST POINT MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
63.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,DR CHEN & DAVIS,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
56.0,CORNBROOK MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.5mg capsules
28.0,ASHCROFT SURGERY,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,"DR CHIU, KOH AND GAN",CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
35.0,ASHCROFT SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
24.0,BURNAGE HEALTHCARE PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,DAVID MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
28.0,DAVID MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
28.0,DAVID MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
35.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg modified-release capsules
28.0,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,CORNERSTONE FAMILY PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
56.0,DAM HEAD MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,MOUNT ROAD SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,LIME SQUARE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
28.0,JOLLY MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
168.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
42.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
56.0,OSWALD ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
50.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg/ml oral solution sugar free
56.0,MAULDETH MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
56.0,MP VICTORIA MILL,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
56.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 6mg capsules
28.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
84.0,NURSING HOME PROJECT TEAM (SOUTH),SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,NURSING HOME PROJECT TEAM (SOUTH),SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
84.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
35.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Reminyl XL 16mg capsules
28.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
56.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
56.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 6mg capsules
168.0,PRINCESS ROAD SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
112.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg modified-release capsules
28.0,THE WHITSWOOD PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
30.0,ST GEORGE'S MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
28.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg modified-release capsules
56.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg tablets
21.0,NEWTON HEATH MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
56.0,SIMPSON MEDICAL PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
28.0,THE ROBERT DARBISHIRE PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201401,Galantamine 8mg modified-release capsules
84.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,THE ROBERT DARBISHIRE PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.5mg capsules
28.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
14.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 1.5mg capsules
60.0,WEST GORTON MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
84.0,WILBRAHAM SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg orodispersible tablets sugar free
100.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg/ml oral solution sugar free
112.0,CHORLTON FAMILY PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,AILSA CRAIG MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
140.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
112.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
49.0,FERNCLOUGH SURGERY,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
112.0,EASTLANDS MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
7.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
56.0,FERNCLOUGH SURGERY,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
56.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 1.5mg capsules
56.0,MOUNT ROAD SURGERY,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
60.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
30.0,DAVID MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
112.0,LADYBARN GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
448.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
21.0,INTERMEDIATE CARE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,LIME SQUARE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Aricept 5mg tablets
28.0,NURSING HOME PROJECT TEAM (SOUTH),SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg orodispersible tablets sugar free
56.0,KAYA PRACTICE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
28.0,OSWALD ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
28.0,BODEY MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
30.0,PEEL HALL MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
28.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
30.0,MP VICTORIA MILL,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
154.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
30.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
56.0,NEWTON HEATH MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
35.0,PARK VIEW MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
112.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
224.0,TREGENNA GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
70.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
56.0,RK MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
100.0,THE ARCH MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg/ml oral solution sugar free
56.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
56.0,CHORLTON FAMILY PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,BENCHILL MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg tablets
42.0,BEACON MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
112.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
56.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
84.0,KINGSWAY MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
44.0,KINGSWAY MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
28.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 3mg capsules
56.0,THE ALEXANDRA PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,FIVE OAKS FAMILIY PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
84.0,DAVID MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.5mg capsules
28.0,PRINCESS ROAD SURGERY,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 24mg modified-release capsules
168.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
35.0,FIVE OAKS FAMILIY PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
35.0,MAULDETH MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
200.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 20mg/5ml oral solution sugar free
30.0,WELLFIELD MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
56.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg modified-release capsules
84.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
63.0,NEWTON HEATH MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
56.0,NEWTON HEATH MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg tablets
35.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg modified-release capsules
112.0,TREGENNA GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 1.5mg capsules
60.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
56.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 1.5mg capsules
